IDPOL,INIVIG,Año,Mes,Tipo,Sexo_Titular,Sexo_Adjunto,ECON_Titular,ECON_Adjunto,Status_Titular,Status_Adjunto,PROD,SAF,SAD,CREC,%CREC,COB,PAG,DIV,MON,SIT,F_GAR
17483,20/09/2024,2024,9,Individual,M,F,25,33,NFND,FD,T,27390,NA,NA,NA,20,19,NA,MXN,Normal,NA
17482,20/09/2024,2024,9,Individual,M,F,40,40,NFND,NFD,DM,275960,275960,NA,NA,15,3,SI,MXN,Normal,NA
17481,20/09/2024,2024,9,Individual,F,M,38,28,FND,NFD,DM,948920,Última,FIJO,0.034,15,15,SI,UDI,Normal,NA
17479,20/09/2024,2024,9,Vida Conjunta,F,F,52,53,NFND,FND,DM,500420,500420,NA,NA,20,1,SI,MXN,Normal,NA
17478,20/09/2024,2024,9,Individual,F,F,46,46,NFD,NFD,DM,159920,159920,NA,NA,15,15,SI,MXN,Normal,NA
17487,20/09/2024,2024,9,Vida Conjunta,M,M,46,38,NFND,NFD,V,592700,NA,NA,NA,NA,1,NA,MXN,Normal,NA
17511,21/09/2024,2024,9,Individual,F,M,46,56,NFD,FND,V,782310,NA,NA,NA,NA,15,NA,MXN,Prórrogado,2038-09-21
17509,21/09/2024,2024,9,Individual,F,F,56,56,NFD,NFD,V,1208680,NA,NA,NA,NA,1,NA,MXN,Normal,NA
17508,21/09/2024,2024,9,Vida Conjunta,F,M,35,35,NFND,NFND,DM,800460,800460,NA,NA,15,15,SI,MXN,Normal,NA
17507,21/09/2024,2024,9,Individual,M,M,32,38,FND,FD,T,236300,NA,NA,NA,5,1,NA,UDI,Normal,NA
17506,21/09/2024,2024,9,Vida Conjunta,M,F,29,30,FND,FND,T,816780,NA,NA,NA,15,15,NA,MXN,Normal,NA
17505,21/09/2024,2024,9,Individual,M,F,41,47,NFND,NFND,T,575750,NA,NA,NA,20,4,NA,MXN,Normal,NA
17510,21/09/2024,2024,9,Vida Conjunta,M,F,50,58,NFD,FD,V,2113190,NA,NA,NA,NA,52,NA,MXN,Normal,NA
17503,21/09/2024,2024,9,Individual,F,M,46,46,NFD,NFND,DM,470510,470510,NA,NA,10,8,SI,MXN,Normal,NA
17502,21/09/2024,2024,9,Vida Conjunta,F,F,29,29,FND,NFD,T,797820,NA,NA,NA,10,1,NA,MXN,Normal,NA
17501,21/09/2024,2024,9,Vida Conjunta,F,M,50,50,FND,FND,DM,114450,114450,NA,NA,20,20,SI,MXN,Normal,NA
17500,21/09/2024,2024,9,Individual,M,M,34,34,NFND,NFND,T,75430,NA,NA,NA,10,7,NA,MXN,Normal,NA
17499,21/09/2024,2024,9,Último Superviviente,F,M,45,45,FND,NFND,T,711330,NA,NA,NA,5,3,NA,MXN,Normal,NA
17498,21/09/2024,2024,9,Individual,M,F,39,39,NFD,NFD,DM,538910,538910,NA,NA,15,15,SI,MXN,Normal,NA
17504,21/09/2024,2024,9,Individual,F,F,38,41,NFND,NFND,DM,69930,69930,NA,NA,15,15,SI,UDI,Normal,NA
17528,22/09/2024,2024,9,Individual,M,F,36,36,NFND,FND,DM,872040,872040,NA,NA,10,6,SI,MXN,Normal,NA
17527,22/09/2024,2024,9,Vida Conjunta,F,M,49,49,NFD,NFND,V,825300,NA,NA,NA,NA,46,NA,USD,Normal,NA
17526,22/09/2024,2024,9,Individual,F,M,32,34,FND,FND,T,1040420,NA,NA,NA,15,1,NA,MXN,Normal,NA
17525,22/09/2024,2024,9,Último Superviviente,M,M,40,30,NFND,NFD,V,125810,NA,NA,NA,NA,1,NA,MXN,Normal,NA
17524,22/09/2024,2024,9,Último Superviviente,M,F,46,46,NFD,FD,T,185010,NA,NA,NA,25,1,NA,MXN,Normal,NA
17523,22/09/2024,2024,9,Individual,F,M,34,27,NFND,NFND,DM,492850,377430,NA,NA,20,20,SI,MXN,Normal,NA
17522,22/09/2024,2024,9,Vida Conjunta,F,M,34,34,FND,FND,T,59660,NA,VARIABLE,0.034,15,1,NA,UDI,Normal,NA
17521,22/09/2024,2024,9,Individual,F,M,30,30,NFND,FND,T,199510,NA,NA,NA,15,7,NA,MXN,Normal,NA
17518,22/09/2024,2024,9,Último Superviviente,M,F,33,33,NFND,NFD,DM,448780,448780,NA,NA,20,14,SI,MXN,Normal,NA
17519,22/09/2024,2024,9,Vida Conjunta,F,F,38,34,NFD,NFD,DM,312290,312290,NA,NA,5,5,SI,MXN,Normal,NA
17517,22/09/2024,2024,9,Individual,F,M,24,24,NFND,NFND,T,495130,NA,NA,NA,20,13,NA,MXN,Normal,NA
17516,22/09/2024,2024,9,Último Superviviente,M,F,52,62,FD,FD,DM,245170,245170,NA,NA,20,20,SI,MXN,Normal,NA
17515,22/09/2024,2024,9,Individual,F,M,44,36,NFD,NFD,T,249980,NA,NA,NA,15,1,NA,UDI,Normal,NA
17514,22/09/2024,2024,9,Individual,F,M,41,41,NFND,FD,T,1880340,NA,NA,NA,15,1,NA,MXN,Normal,NA
17513,22/09/2024,2024,9,Individual,F,F,27,27,NFND,FND,V,961020,NA,FIJO,0.023,NA,39,NA,MXN,Normal,NA
17512,22/09/2024,2024,9,Individual,M,F,51,52,FND,FD,T,1091530,NA,NA,NA,15,15,NA,MXN,Normal,NA
17520,22/09/2024,2024,9,Individual,F,M,52,52,NFND,NFND,T,478070,NA,NA,NA,25,25,NA,MXN,Normal,NA
17535,23/09/2024,2024,9,Vida Conjunta,F,M,61,61,NFND,NFD,V,173560,NA,NA,NA,NA,1,NA,MXN,Normal,NA
17537,23/09/2024,2024,9,Individual,M,M,37,27,NFND,NFD,T,1810540,NA,FIJO,0.029,15,15,NA,MXN,Normal,NA
17538,23/09/2024,2024,9,Individual,M,M,46,49,NFND,NFND,V,129390,NA,NA,NA,NA,33,NA,MXN,Normal,NA
17534,23/09/2024,2024,9,Último Superviviente,M,F,42,42,NFND,NFND,DM,906660,906660,NA,NA,5,1,SI,MXN,Normal,NA
17536,23/09/2024,2024,9,Vida Conjunta,M,M,34,42,NFND,NFND,T,3356400,NA,NA,NA,25,25,NA,MXN,Normal,NA
17532,23/09/2024,2024,9,Individual,M,F,35,29,NFND,FND,DM,2264700,Última,VARIABLE,0.046,10,5,SI,MXN,Normal,NA
17531,23/09/2024,2024,9,Vida Conjunta,M,F,54,54,FND,NFD,T,985700,NA,NA,NA,25,25,NA,UDI,Normal,NA
17530,23/09/2024,2024,9,Individual,M,F,38,38,FND,FND,V,1500380,NA,NA,NA,NA,41,NA,UDI,Normal,NA
17529,23/09/2024,2024,9,Individual,F,M,46,52,NFND,NFD,DM,496680,Última,FIJO,0.042,10,5,SI,MXN,Normal,NA
17533,23/09/2024,2024,9,Individual,M,F,47,57,NFD,NFD,T,584920,NA,NA,NA,15,15,NA,UDI,Normal,NA
17548,24/09/2024,2024,9,Individual,M,F,23,23,FD,FD,T,175850,NA,NA,NA,25,9,NA,MXN,Normal,NA
17547,24/09/2024,2024,9,Individual,M,M,52,43,NFND,NFD,V,878240,NA,NA,NA,NA,8,NA,UDI,Normal,NA
17546,24/09/2024,2024,9,Individual,F,M,43,51,NFND,NFND,V,1796900,NA,NA,NA,NA,43,NA,UDI,Normal,NA
17545,24/09/2024,2024,9,Vida Conjunta,M,M,29,38,FND,FND,T,620880,NA,NA,NA,10,10,NA,MXN,Normal,NA
17544,24/09/2024,2024,9,Individual,M,F,31,31,FD,FD,DM,298630,Última,FIJO,0.011,10,9,SI,MXN,Normal,NA
17542,24/09/2024,2024,9,Último Superviviente,F,M,42,43,NFND,FND,T,4706970,NA,NA,NA,20,20,NA,MXN,Saldado,2041-09-24
17541,24/09/2024,2024,9,Vida Conjunta,F,M,57,65,NFND,NFND,V,195540,NA,NA,NA,NA,53,NA,MXN,Normal,NA
17540,24/09/2024,2024,9,Individual,M,F,37,34,FND,FND,T,1268390,NA,NA,NA,15,1,NA,MXN,Normal,NA
17539,24/09/2024,2024,9,Vida Conjunta,F,M,51,60,NFND,NFND,DM,494860,494860,NA,NA,10,10,SI,MXN,Normal,NA
17543,24/09/2024,2024,9,Individual,F,M,55,63,NFD,NFD,V,342790,NA,NA,NA,NA,24,NA,MXN,Normal,NA
17556,25/09/2024,2024,9,Individual,F,M,63,65,NFND,FD,V,453610,NA,NA,NA,NA,1,NA,MXN,Normal,NA
17560,25/09/2024,2024,9,Vida Conjunta,M,F,47,52,FD,FD,V,488700,NA,NA,NA,NA,47,NA,MXN,Normal,NA
17559,25/09/2024,2024,9,Último Superviviente,F,M,43,43,NFD,NFD,DM,444410,Última,VARIABLE,0.038,10,10,SI,MXN,Normal,NA
17558,25/09/2024,2024,9,Individual,M,F,34,34,NFD,FND,T,610470,NA,NA,NA,15,11,NA,MXN,Normal,NA
17557,25/09/2024,2024,9,Vida Conjunta,F,M,33,25,NFND,FD,DM,746080,746080,NA,NA,20,12,SI,MXN,Normal,NA
17555,25/09/2024,2024,9,Último Superviviente,M,M,43,46,NFND,NFND,T,1928390,NA,NA,NA,15,15,NA,MXN,Normal,NA
17549,25/09/2024,2024,9,Individual,M,M,47,52,NFD,NFND,V,196400,NA,NA,NA,NA,41,NA,MXN,Normal,NA
17553,25/09/2024,2024,9,Vida Conjunta,F,M,51,50,NFND,NFND,V,214580,NA,NA,NA,NA,31,NA,MXN,Normal,NA
17552,25/09/2024,2024,9,Individual,M,F,38,44,FD,NFND,T,590240,NA,VARIABLE,0.029,15,1,NA,MXN,Normal,NA
17551,25/09/2024,2024,9,Vida Conjunta,M,F,42,35,FND,FND,V,272940,NA,FIJO,0.02,NA,1,NA,MXN,Normal,NA
17550,25/09/2024,2024,9,Último Superviviente,F,M,46,40,NFD,NFD,T,277290,NA,NA,NA,20,3,NA,MXN,Normal,NA
17554,25/09/2024,2024,9,Vida Conjunta,F,F,39,37,NFND,NFND,T,3113900,NA,NA,NA,10,1,NA,MXN,Normal,NA
17567,26/09/2024,2024,9,Individual,F,F,23,18,NFND,FD,T,702300,NA,NA,NA,5,5,NA,MXN,Normal,NA
17570,26/09/2024,2024,9,Individual,F,M,45,45,NFND,NFND,DM,334510,Última,FIJO,0.015,20,1,SI,MXN,Normal,NA
17569,26/09/2024,2024,9,Vida Conjunta,F,M,27,23,NFND,NFND,T,85000,NA,NA,NA,10,9,NA,UDI,Normal,NA
17568,26/09/2024,2024,9,Individual,M,F,40,40,NFND,NFND,V,319080,NA,NA,NA,NA,17,NA,MXN,Normal,NA
17566,26/09/2024,2024,9,Vida Conjunta,M,F,35,35,NFND,NFD,T,238960,NA,NA,NA,15,1,NA,MXN,Normal,NA
17563,26/09/2024,2024,9,Individual,F,M,50,50,FND,NFND,V,485370,NA,NA,NA,NA,1,NA,MXN,Normal,NA
17564,26/09/2024,2024,9,Vida Conjunta,M,F,35,35,NFD,FND,T,602330,NA,NA,NA,10,10,NA,USD,Normal,NA
17562,26/09/2024,2024,9,Individual,M,F,31,31,NFD,NFD,DM,422170,422170,NA,NA,25,25,SI,MXN,Normal,NA
17561,26/09/2024,2024,9,Individual,M,F,37,37,NFD,NFD,T,81630,NA,FIJO,0.037,15,2,NA,UDI,Normal,NA
17565,26/09/2024,2024,9,Individual,M,F,46,45,NFND,FND,V,1425070,NA,FIJO,0.015,NA,16,NA,MXN,Normal,NA
17582,27/09/2024,2024,9,Vida Conjunta,M,F,36,38,NFD,NFND,T,1108820,NA,NA,NA,15,5,NA,MXN,Saldado,2028-09-27
17581,27/09/2024,2024,9,Vida Conjunta,M,F,43,43,NFND,NFND,T,1036340,NA,NA,NA,5,1,NA,MXN,Normal,NA
17580,27/09/2024,2024,9,Individual,F,F,42,36,NFND,NFND,T,350690,NA,VARIABLE,0.013,20,20,NA,MXN,Normal,NA
17578,27/09/2024,2024,9,Individual,M,M,44,44,NFD,NFD,DM,1671690,1201140,NA,NA,20,6,SI,MXN,Normal,NA
17577,27/09/2024,2024,9,Individual,M,F,37,36,FD,NFD,T,1727810,NA,NA,NA,15,15,NA,MXN,Normal,NA
17579,27/09/2024,2024,9,Individual,M,F,59,63,NFND,FD,V,61460,NA,NA,NA,NA,1,NA,MXN,Prórrogado,2025-09-27
17575,27/09/2024,2024,9,Individual,M,F,32,29,NFND,FND,T,258980,NA,FIJO,0.044,5,2,NA,MXN,Normal,NA
17574,27/09/2024,2024,9,Vida Conjunta,M,M,29,39,NFD,NFD,DM,161470,161470,NA,NA,10,10,SI,MXN,Normal,NA
17573,27/09/2024,2024,9,Individual,M,F,44,44,NFND,FND,V,497300,NA,VARIABLE,0.037,NA,1,NA,MXN,Normal,NA
17572,27/09/2024,2024,9,Individual,M,F,48,55,FND,NFD,DM,144850,144850,NA,NA,5,1,SI,UDI,Normal,NA
17571,27/09/2024,2024,9,Vida Conjunta,M,F,40,40,FD,NFND,T,346240,NA,NA,NA,5,5,NA,MXN,Normal,NA
17576,27/09/2024,2024,9,Individual,F,M,56,56,NFND,FND,DM,147210,Última,VARIABLE,0.036,20,1,SI,MXN,Normal,NA
17595,28/09/2024,2024,9,Individual,F,M,47,47,NFD,NFD,T,610150,NA,NA,NA,5,2,NA,USD,Normal,NA
17602,28/09/2024,2024,9,Vida Conjunta,F,F,42,43,NFD,FD,T,369090,NA,NA,NA,15,7,NA,MXN,Normal,NA
17601,28/09/2024,2024,9,Vida Conjunta,F,F,39,39,FND,NFD,T,303220,NA,NA,NA,15,15,NA,MXN,Normal,NA
17600,28/09/2024,2024,9,Individual,M,F,43,36,NFND,FD,T,325450,NA,NA,NA,25,25,NA,MXN,Normal,NA
17599,28/09/2024,2024,9,Individual,M,F,46,45,NFND,NFND,V,158180,NA,NA,NA,NA,15,NA,MXN,Normal,NA
17598,28/09/2024,2024,9,Individual,M,F,50,41,NFND,NFND,T,733800,NA,NA,NA,10,10,NA,MXN,Normal,NA
17597,28/09/2024,2024,9,Individual,M,F,53,53,NFND,NFND,V,301460,NA,NA,NA,NA,20,NA,MXN,Normal,NA
17603,28/09/2024,2024,9,Individual,F,M,48,45,NFD,FND,V,4850640,NA,NA,NA,NA,3,NA,MXN,Normal,NA
17596,28/09/2024,2024,9,Individual,F,F,45,40,FND,FND,DM,434510,434510,NA,NA,20,20,SI,USD,Normal,NA
17594,28/09/2024,2024,9,Individual,M,F,34,34,FND,FND,T,33590,NA,FIJO,0.047,5,5,NA,UDI,Normal,NA
17589,28/09/2024,2024,9,Individual,M,F,36,41,FND,NFND,T,746140,NA,NA,NA,20,20,NA,MXN,Normal,NA
17592,28/09/2024,2024,9,Vida Conjunta,M,F,36,32,NFND,NFND,DM,555880,555880,NA,NA,5,5,SI,MXN,Normal,NA
17591,28/09/2024,2024,9,Individual,F,F,26,18,FND,FD,T,899830,NA,FIJO,0.041,15,15,NA,MXN,Normal,NA
17590,28/09/2024,2024,9,Vida Conjunta,M,F,31,23,FND,FND,T,389030,NA,NA,NA,15,13,NA,MXN,Normal,NA
17588,28/09/2024,2024,9,Vida Conjunta,M,F,39,39,FD,FD,T,745240,NA,NA,NA,25,15,NA,MXN,Normal,NA
17587,28/09/2024,2024,9,Individual,M,F,52,52,FND,FND,V,170000,NA,NA,NA,NA,6,NA,MXN,Normal,NA
17586,28/09/2024,2024,9,Individual,F,M,46,55,NFND,NFND,DM,934720,Última,FIJO,0.047,10,5,SI,MXN,Normal,NA
17585,28/09/2024,2024,9,Vida Conjunta,F,M,34,34,FND,FND,T,1922120,NA,NA,NA,15,4,NA,MXN,Normal,NA
17584,28/09/2024,2024,9,Individual,M,M,47,47,FND,FND,V,1051650,NA,NA,NA,NA,31,NA,MXN,Normal,NA
17583,28/09/2024,2024,9,Individual,M,M,43,52,FD,FD,DM,423110,423110,NA,NA,10,4,SI,MXN,Normal,NA
17593,28/09/2024,2024,9,Vida Conjunta,M,F,37,31,NFND,NFND,DM,653490,Última,VARIABLE,0.038,15,14,SI,MXN,Normal,NA
17614,29/09/2024,2024,9,Individual,F,F,41,31,NFND,FD,DM,542980,542980,NA,NA,25,25,SI,MXN,Normal,NA
17613,29/09/2024,2024,9,Individual,M,F,35,35,NFD,NFND,T,98300,NA,NA,NA,5,5,NA,MXN,Normal,NA
17612,29/09/2024,2024,9,Individual,F,M,53,53,NFND,NFND,DM,306030,306030,NA,NA,20,20,SI,MXN,Normal,NA
17611,29/09/2024,2024,9,Individual,M,M,45,45,NFD,NFD,T,34590,NA,NA,NA,10,10,NA,MXN,Normal,NA
17610,29/09/2024,2024,9,Individual,M,F,25,25,NFND,NFND,T,627320,NA,NA,NA,5,2,NA,MXN,Normal,NA
17608,29/09/2024,2024,9,Vida Conjunta,F,F,43,48,NFND,NFND,T,392820,NA,VARIABLE,0.033,5,1,NA,MXN,Normal,NA
17607,29/09/2024,2024,9,Vida Conjunta,M,M,44,45,FD,FD,T,813270,NA,NA,NA,5,3,NA,MXN,Normal,NA
17606,29/09/2024,2024,9,Vida Conjunta,M,F,39,39,FND,FD,T,150340,NA,NA,NA,20,12,NA,MXN,Normal,NA
17605,29/09/2024,2024,9,Vida Conjunta,M,F,55,55,NFND,NFND,V,927980,NA,NA,NA,NA,49,NA,MXN,Normal,NA
17604,29/09/2024,2024,9,Individual,F,M,36,37,NFND,NFD,T,171920,NA,NA,NA,10,10,NA,MXN,Normal,NA
17609,29/09/2024,2024,9,Individual,M,F,45,35,FND,NFND,DM,198210,198210,NA,NA,20,1,SI,MXN,Normal,NA
17625,30/09/2024,2024,9,Vida Conjunta,M,F,38,41,NFD,FND,T,126220,NA,FIJO,0.042,15,11,NA,MXN,Normal,NA
17631,30/09/2024,2024,9,Individual,M,M,19,28,FND,FND,T,1005280,NA,NA,NA,10,10,NA,MXN,Normal,NA
17630,30/09/2024,2024,9,Individual,M,F,32,36,FD,FND,T,151600,NA,FIJO,0.049,15,1,NA,UDI,Normal,NA
17629,30/09/2024,2024,9,Individual,M,M,39,39,FND,FND,T,1048350,NA,NA,NA,5,5,NA,MXN,Normal,NA
17628,30/09/2024,2024,9,Vida Conjunta,M,F,45,42,NFND,FD,DM,164980,164980,NA,NA,15,15,SI,MXN,Normal,NA
17632,30/09/2024,2024,9,Individual,F,M,35,38,NFD,FD,T,178880,NA,FIJO,0.03,10,10,NA,MXN,Normal,NA
17627,30/09/2024,2024,9,Individual,F,M,45,37,NFND,NFD,T,125840,NA,NA,NA,10,4,NA,MXN,Normal,NA
17626,30/09/2024,2024,9,Último Superviviente,M,M,45,45,FND,FND,V,1229540,NA,VARIABLE,0.019,NA,1,NA,MXN,Normal,NA
17624,30/09/2024,2024,9,Último Superviviente,M,F,47,46,NFND,NFND,DM,836410,Última,FIJO,0.025,10,10,SI,MXN,Normal,NA
17619,30/09/2024,2024,9,Individual,M,F,29,30,FD,FD,DM,306680,306680,NA,NA,15,15,SI,MXN,Normal,NA
17622,30/09/2024,2024,9,Individual,F,M,51,54,FND,FND,T,113760,NA,NA,NA,10,8,NA,MXN,Normal,NA
17621,30/09/2024,2024,9,Vida Conjunta,M,F,64,55,NFD,NFD,V,83610,NA,NA,NA,NA,22,NA,MXN,Normal,NA
17620,30/09/2024,2024,9,Vida Conjunta,F,F,44,40,NFD,FND,DM,366830,366830,NA,NA,10,3,SI,MXN,Normal,NA
17618,30/09/2024,2024,9,Individual,F,F,54,54,FND,FND,V,110000,NA,NA,NA,NA,34,NA,MXN,Saldado,2054-09-30
17617,30/09/2024,2024,9,Individual,F,M,51,54,NFD,NFD,T,80750,NA,NA,NA,10,10,NA,MXN,Normal,NA
17616,30/09/2024,2024,9,Individual,F,M,51,51,NFD,NFD,V,154030,NA,FIJO,0.028,NA,4,NA,MXN,Normal,NA
17615,30/09/2024,2024,9,Individual,F,M,32,33,FND,FND,DM,831260,831260,NA,NA,15,15,SI,UDI,Normal,NA
17623,30/09/2024,2024,9,Individual,M,M,61,56,NFND,FD,V,1846430,NA,NA,NA,NA,28,NA,MXN,Normal,NA
17643,01/10/2024,2024,10,Individual,M,F,39,42,NFND,FD,DM,1562340,1274640,NA,NA,15,1,SI,MXN,Normal,NA
17642,01/10/2024,2024,10,Individual,M,F,33,25,NFND,FD,T,2477200,NA,NA,NA,10,10,NA,MXN,Normal,NA
17641,01/10/2024,2024,10,Individual,M,M,39,30,FD,NFD,V,671750,NA,NA,NA,NA,1,NA,MXN,Normal,NA
17640,01/10/2024,2024,10,Individual,M,F,35,34,NFD,NFD,T,837950,NA,NA,NA,15,1,NA,MXN,Normal,NA
17639,01/10/2024,2024,10,Vida Conjunta,M,F,33,25,NFND,NFND,T,905600,NA,NA,NA,15,15,NA,MXN,Normal,NA
17635,01/10/2024,2024,10,Vida Conjunta,M,M,29,29,NFND,NFND,DM,411680,411680,NA,NA,20,20,SI,MXN,Normal,NA
17637,01/10/2024,2024,10,Vida Conjunta,M,M,55,52,NFND,FND,V,232500,NA,NA,NA,NA,50,NA,MXN,Normal,NA
17636,01/10/2024,2024,10,Individual,F,M,40,40,FND,FD,T,490540,NA,NA,NA,20,1,NA,MXN,Normal,NA
17634,01/10/2024,2024,10,Individual,F,M,32,41,FND,FND,T,605080,NA,NA,NA,20,20,NA,MXN,Normal,NA
17633,01/10/2024,2024,10,Último Superviviente,M,F,55,47,NFND,NFND,V,249930,NA,VARIABLE,0.047,NA,27,NA,MXN,Normal,NA
17638,01/10/2024,2024,10,Vida Conjunta,F,M,40,40,FND,FD,DM,432250,432250,NA,NA,10,10,SI,MXN,Normal,NA
17652,02/10/2024,2024,10,Individual,F,M,44,48,FND,NFND,DM,8000000,8000000,NA,NA,10,10,SI,UDI,Normal,NA
17653,02/10/2024,2024,10,Individual,F,M,55,60,NFND,NFND,V,184820,NA,FIJO,0.046,NA,45,NA,MXN,Normal,NA
17648,02/10/2024,2024,10,Individual,F,F,55,51,NFD,NFND,T,208630,NA,NA,NA,15,15,NA,MXN,Normal,NA
17655,02/10/2024,2024,10,Vida Conjunta,F,M,40,40,NFND,NFND,T,1147390,NA,FIJO,0.02,15,15,NA,MXN,Normal,NA
17654,02/10/2024,2024,10,Vida Conjunta,M,M,40,40,NFND,NFD,T,226420,NA,NA,NA,10,4,NA,MXN,Normal,NA
17651,02/10/2024,2024,10,Individual,M,M,52,48,FND,FND,V,237760,NA,VARIABLE,0.044,NA,3,NA,MXN,Normal,NA
17646,02/10/2024,2024,10,Individual,F,M,36,36,NFND,FND,T,356560,NA,NA,NA,10,3,NA,MXN,Normal,NA
17649,02/10/2024,2024,10,Individual,M,F,55,55,FND,NFD,V,2725750,NA,NA,NA,NA,1,NA,MXN,Normal,NA
17647,02/10/2024,2024,10,Individual,F,M,36,36,NFND,NFND,DM,1537680,Última,VARIABLE,0.021,15,2,SI,MXN,Normal,NA
17650,02/10/2024,2024,10,Individual,M,M,42,42,NFND,NFND,T,219590,NA,NA,NA,15,3,NA,MXN,Normal,NA
17645,02/10/2024,2024,10,Vida Conjunta,M,F,44,44,NFD,FD,DM,2090710,Última,VARIABLE,0.021,10,10,SI,MXN,Normal,NA
17644,02/10/2024,2024,10,Individual,F,F,36,36,FND,FD,T,207970,NA,NA,NA,20,14,NA,MXN,Normal,NA
17672,03/10/2024,2024,10,Individual,F,M,42,42,NFND,FND,V,797650,NA,NA,NA,NA,19,NA,MXN,Normal,NA
17671,03/10/2024,2024,10,Individual,F,M,50,50,NFND,FND,DM,749230,Última,VARIABLE,0.017,5,1,SI,MXN,Normal,NA
17670,03/10/2024,2024,10,Individual,F,M,45,35,FD,FND,V,312270,NA,NA,NA,NA,1,NA,MXN,Normal,NA
17669,03/10/2024,2024,10,Individual,F,M,38,45,NFND,FD,T,1268890,NA,VARIABLE,0.037,5,4,NA,MXN,Normal,NA
17668,03/10/2024,2024,10,Individual,M,M,43,49,NFND,FD,V,24830,NA,VARIABLE,0.044,NA,28,NA,MXN,Normal,NA
17667,03/10/2024,2024,10,Último Superviviente,M,F,35,30,NFND,FND,T,128960,NA,NA,NA,10,10,NA,MXN,Normal,NA
17666,03/10/2024,2024,10,Individual,M,F,41,35,NFD,NFD,T,180490,NA,NA,NA,20,14,NA,UDI,Normal,NA
17664,03/10/2024,2024,10,Vida Conjunta,M,F,34,33,NFND,FD,T,269110,NA,NA,NA,15,1,NA,UDI,Normal,NA
17665,03/10/2024,2024,10,Individual,F,F,50,50,FND,NFND,V,658970,NA,NA,NA,NA,49,NA,MXN,Normal,NA
17662,03/10/2024,2024,10,Individual,M,F,33,28,NFND,NFND,T,156690,NA,NA,NA,10,10,NA,MXN,Normal,NA
17661,03/10/2024,2024,10,Vida Conjunta,M,F,56,56,NFD,NFD,V,72650,NA,VARIABLE,0.018,NA,12,NA,MXN,Normal,NA
17660,03/10/2024,2024,10,Individual,F,M,51,51,FD,FD,V,436920,NA,NA,NA,NA,2,NA,MXN,Normal,NA
17659,03/10/2024,2024,10,Individual,M,F,36,36,FND,FND,T,2087840,NA,VARIABLE,0.013,5,5,NA,MXN,Normal,NA
17658,03/10/2024,2024,10,Individual,F,F,34,43,FND,FND,T,1017730,NA,NA,NA,10,1,NA,MXN,Normal,NA
17657,03/10/2024,2024,10,Vida Conjunta,M,F,48,49,FND,NFD,V,123210,NA,NA,NA,NA,39,NA,MXN,Normal,NA
17656,03/10/2024,2024,10,Vida Conjunta,M,M,37,37,NFND,NFD,DM,125450,125450,NA,NA,20,20,SI,MXN,Normal,NA
17663,03/10/2024,2024,10,Individual,M,F,37,37,NFND,NFND,T,462730,NA,NA,NA,25,25,NA,MXN,Normal,NA
17682,04/10/2024,2024,10,Individual,M,F,34,39,FND,FND,T,167210,NA,NA,NA,15,15,NA,MXN,Normal,NA
17687,04/10/2024,2024,10,Individual,M,F,40,40,NFND,FND,DM,268880,268880,NA,NA,20,14,SI,MXN,Prórrogado,2035-10-04
17686,04/10/2024,2024,10,Vida Conjunta,F,F,56,53,NFND,NFND,V,63310,NA,NA,NA,NA,25,NA,MXN,Normal,NA
17685,04/10/2024,2024,10,Individual,F,M,40,40,NFD,FND,DM,336190,336190,NA,NA,15,2,SI,MXN,Normal,NA
17684,04/10/2024,2024,10,Vida Conjunta,M,F,52,60,FD,NFND,T,1832070,NA,NA,NA,25,1,NA,MXN,Normal,NA
17683,04/10/2024,2024,10,Vida Conjunta,F,M,39,39,FND,NFND,T,437170,NA,NA,NA,25,25,NA,MXN,Normal,NA
17681,04/10/2024,2024,10,Último Superviviente,F,F,41,48,NFND,FND,DM,241640,241640,NA,NA,20,9,SI,MXN,Normal,NA
17679,04/10/2024,2024,10,Individual,F,F,47,53,NFND,NFD,V,585360,NA,FIJO,0.021,NA,11,NA,MXN,Normal,NA
17678,04/10/2024,2024,10,Vida Conjunta,M,F,39,44,NFND,NFND,V,401070,NA,NA,NA,NA,37,NA,USD,Normal,NA
17677,04/10/2024,2024,10,Individual,F,M,40,41,FND,NFD,T,295360,NA,NA,NA,20,20,NA,MXN,Normal,NA
17676,04/10/2024,2024,10,Individual,F,F,54,58,NFND,NFND,V,109850,NA,NA,NA,NA,1,NA,MXN,Normal,NA
17675,04/10/2024,2024,10,Vida Conjunta,M,M,40,40,NFND,NFD,T,112050,NA,NA,NA,25,25,NA,MXN,Normal,NA
17674,04/10/2024,2024,10,Individual,M,F,32,28,NFND,NFND,DM,734340,734340,NA,NA,20,20,SI,MXN,Normal,NA
17673,04/10/2024,2024,10,Individual,M,M,48,56,NFD,NFD,V,3188310,NA,NA,NA,NA,1,NA,UDI,Normal,NA
17680,04/10/2024,2024,10,Individual,M,F,43,49,NFND,NFD,T,117510,NA,NA,NA,25,1,NA,MXN,Normal,NA
17694,05/10/2024,2024,10,Individual,F,M,36,36,FD,FD,T,1777200,NA,VARIABLE,0.025,20,20,NA,MXN,Normal,NA
17703,05/10/2024,2024,10,Individual,F,M,43,39,FND,FND,DM,514760,514760,NA,NA,10,10,SI,MXN,Normal,NA
